,Time,Density,gasTemp,av,zeta,radfield,shockVel,CH3OH,runName,N_CH3OH,Time_log,Density_log,gasTemp_log,av_log,zeta_log,radfield_log,shockVel_log,CH3OH_log,cosmicRay,interstellarRad,iDens,shockVel_str,normalizedTime,normalizedTime_log
5167,717200.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62373e-07,1000.0_1000.0_10000.0_40.0.dat,2.166705312e+16,5.855640280890145,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789486185229543,1000.0,1000.0,10000.0,40.0,0.683047619047619,-0.16554901817979287
5168,788900.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62366e-07,1000.0_1000.0_10000.0_40.0.dat,2.1666119040000004e+16,5.897021956060363,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.78950490833563,1000.0,1000.0,10000.0,40.0,0.7513333333333333,-0.12416734300957472
5169,867800.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.6236e-07,1000.0_1000.0_10000.0_40.0.dat,2.1665318400000004e+16,5.938419645793193,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789520957354752,1000.0,1000.0,10000.0,40.0,0.8264761904761905,-0.08276965327674497
5170,954600.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62356e-07,1000.0_1000.0_10000.0_40.0.dat,2.166478464e+16,5.979821430030225,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789531657030332,1000.0,1000.0,10000.0,40.0,0.9091428571428571,-0.041367869039712915
5171,1050000.0,84407.0,15.0,83.4,1000.0,1000.0,40.0,1.62353e-07,1000.0_1000.0_10000.0_40.0.dat,2.166438432e+16,6.021189299069938,4.9263784648165485,1.1760912590556813,1.9211660506377388,3.0,3.0,1.6020599913279625,-6.789539681960012,1000.0,1000.0,10000.0,40.0,1.0,0.0
5172,0.0,1000.0,15.0,2.9644,10.0,3.0,10.0,6.34565e-09,10.0_3.0_1000.0_10.0.dat,30097671776000.0,-inf,3.0,1.1760912590556813,0.471936804594729,1.0,0.47712125471966244,1.0,-8.197523885475524,10.0,3.0,1000.0,10.0,0.0,-inf
5173,117.2,1001.0,15.0,2.9644,10.0,3.0,10.0,6.05457e-09,10.0_3.0_1000.0_10.0.dat,28717067692800.0,2.0689276116820716,3.000434077479319,1.1760912590556813,0.471936804594729,1.0,0.47712125471966244,1.0,-8.217916695338188,10.0,3.0,1000.0,10.0,0.00011046182846371348,-3.956787772219269
5174,234.4,1003.8,15.01,2.9653,10.0,3.0,10.0,5.91247e-09,10.0_3.0_1000.0_10.0.dat,28051595665600.004,2.369957607346053,3.0016471913460383,1.1763806922432705,0.47206863758348533,1.0,0.47712125471966244,1.0,-8.228231049868088,10.0,3.0,1000.0,10.0,0.00022092365692742697,-3.6557577765552876
5175,351.6,1008.6,15.04,2.9681,10.0,3.0,10.0,5.84238e-09,10.0_3.0_1000.0_10.0.dat,27745228924800.0,2.5460488664017342,3.0037189638231148,1.1772478362556233,0.472478528923896,1.0,0.47712125471966244,1.0,-8.233410199068048,10.0,3.0,1000.0,10.0,0.00033138548539114043,-3.479666517499606
5176,468.8,1015.2,15.17,2.9727,10.0,3.0,10.0,5.80375e-09,10.0_3.0_1000.0_10.0.dat,27604492200000.0,2.670987603010034,3.006551609086648,1.1809855807867304,0.4731510831307391,1.0,0.47712125471966244,1.0,-8.23629130332577,10.0,3.0,1000.0,10.0,0.00044184731385485393,-3.3547277808913063
5177,585.9,1023.5,15.48,2.979,10.0,3.0,10.0,5.78028e-09,10.0_3.0_1000.0_10.0.dat,27551126592000.0,2.767823498007517,3.0100878469985246,1.189770956346874,0.4740705032150436,1.0,0.47712125471966244,1.0,-8.238051123602025,10.0,3.0,1000.0,10.0,0.000552214891611687,-3.257891885893824
5178,703.1,1033.6,16.07,2.9871,10.0,3.0,10.0,5.77117e-09,10.0_3.0_1000.0_10.0.dat,27582499051199.996,2.847017097935354,3.014352500651009,1.2060158767633447,0.4752497618479288,1.0,0.47712125471966244,1.0,-8.238736132592305,10.0,3.0,1000.0,10.0,0.0006626767200754006,-3.1786982859659862
5179,820.3,1045.2,17.07,2.9968,10.0,3.0,10.0,5.7935e-09,10.0_3.0_1000.0_10.0.dat,27779137279999.996,2.9139727115509713,3.019199401055288,1.2322335211147337,0.4766577600311621,1.0,0.47712125471966244,1.0,-8.23705898869922,10.0,3.0,1000.0,10.0,0.000773138548539114,-3.1117426723503696
5180,937.5,1058.4,18.63,3.008,10.0,3.0,10.0,6.06325e-09,10.0_3.0_1000.0_10.0.dat,29181209600000.0,2.9719712763997563,3.0246498311794445,1.2702128548962426,0.47827783191960466,1.0,0.47712125471966244,1.0,-8.217294524560334,10.0,3.0,1000.0,10.0,0.0008836003770028275,-3.053744107501584
5181,1055.0,1073.0,20.84,3.0207,10.0,3.0,10.0,6.74004e-09,10.0_3.0_1000.0_10.0.dat,32575422124800.0,3.0232524596337114,3.030599721965951,1.318897714627487,0.48010759557644744,1.0,0.47712125471966244,1.0,-8.171337526057005,10.0,3.0,1000.0,10.0,0.000994344957587182,-3.002462924267629
5182,1172.0,1088.8,23.83,3.0348,10.0,3.0,10.0,5.92661e-09,10.0_3.0_1000.0_10.0.dat,28777721644799.996,3.0689276116820716,3.036948112195278,1.3771240423464561,0.4821300753920296,1.0,0.47712125471966244,1.0,-8.22719365052725,10.0,3.0,1000.0,10.0,0.0011046182846371347,-2.956787772219269
5183,1289.0,1105.9,27.65,3.0501,10.0,3.0,10.0,3.14656e-09,10.0_3.0_1000.0_10.0.dat,15355716249600.0,3.110252917353403,3.0437158580612063,1.441695135640717,0.48431407827670314,1.0,0.47712125471966244,1.0,-8.502163982517967,10.0,3.0,1000.0,10.0,0.0012148916116870878,-2.915462466547938
5184,1406.0,1124.0,32.37,3.0665,10.0,3.0,10.0,1.80423e-09,10.0_3.0_1000.0_10.0.dat,8852274072000.0,3.147985320683805,3.0507663112330423,1.510142699402573,0.4866429690235118,1.0,0.47712125471966244,1.0,-8.743708100184424,10.0,3.0,1000.0,10.0,0.0013251649387370406,-2.8777300632175353
5185,1523.0,1143.1,37.99,3.084,10.0,3.0,10.0,1.114e-09,10.0_3.0_1000.0_10.0.dat,5496921600000.0,3.182699903336043,3.058084224750925,1.5796692935547203,0.4891143693789194,1.0,0.47712125471966244,1.0,-8.95311480916229,10.0,3.0,1000.0,10.0,0.0014354382657869934,-2.843015480565298
